street,city,state,beds,baths,sq__ft,type,price
8637 PERIWINKLE CIR,ELK GROVE,CA,3,2,1094,Residential,229000
3425 MEADOW WAY,ROCKLIN,CA,3,2,1462,Residential,230095
107 JARVIS CIR,SACRAMENTO,CA,5,3,2258,Residential,232500
2319 THORES ST,RANCHO CORDOVA,CA,3,2,1074,Residential,233000
8935 MOUNTAIN HOME CT,ELK GROVE,CA,4,2,2111,Residential,233500
2566 SERENATA WAY,SACRAMENTO,CA,3,2,1686,Residential,239000
4085 COUNTRY DR,ANTELOPE,CA,4,3,1915,Residential,240000
9297 TROUT WAY,ELK GROVE,CA,4,2,2367,Residential,240000
7 ARCHIBALD CT,SACRAMENTO,CA,3,2,1962,Residential,240971
11130 EEL RIVER CT,RANCHO CORDOVA,CA,2,2,1406,Residential,242000
8323 REDBANK WAY,SACRAMENTO,CA,3,2,1789,Residential,243450
16 BRONCO CREEK CT,SACRAMENTO,CA,4,2,1876,Residential,243500
8316 NORTHAM DR,ANTELOPE,CA,3,2,1235,Residential,246544
4240 WINJE DR,ANTELOPE,CA,4,2,2504,Residential,246750
3569 SODA WAY,SACRAMENTO,CA,0,0,0,Residential,247000
5118 ROBANDER ST,CARMICHAEL,CA,3,2,1676,Residential,247000
5976 KYLENCH CT,CITRUS HEIGHTS,CA,3,2,1367,Residential,249000
9247 DELAIR WAY,ELK GROVE,CA,4,3,1899,Residential,249000
9054 DESCENDANT DR,ELK GROVE,CA,3,2,1636,Residential,250000
3450 WHITNOR CT,SACRAMENTO,CA,3,2,1828,Residential,250000
6288 LONETREE BLVD,ROCKLIN,CA,0,0,0,Residential,250000
9355 MATADOR WAY,SACRAMENTO,CA,4,2,1438,Residential,252000
8671 SUMMER SUN WAY,ELK GROVE,CA,3,2,1451,Residential,255000
1890 GENEVA PL,SACRAMENTO,CA,3,1,1520,Residential,255000
1813 AVENIDA MARTINA,ROSEVILLE,CA,3,2,1506,Residential,255000
191 BARNHART CIR,SACRAMENTO,CA,4,2,2605,Residential,257200
6221 GREEN TOP WAY,ORANGEVALE,CA,3,2,1196,Residential,260000
2298 PRIMROSE LN,LINCOLN,CA,3,2,1621,Residential,260000
5635 LOS PUEBLOS WAY,SACRAMENTO,CA,3,2,1811,Residential,263500
10165 LOFTON WAY,ELK GROVE,CA,3,2,1540,Residential,266510
1251 GREEN RAVINE DR,LINCOLN,CA,4,2,0,Residential,267750
6001 SHOO FLY RD,PLACERVILLE,CA,0,0,0,Residential,270000
3040 PARKHAM DR,ROSEVILLE,CA,0,0,0,Residential,271000
2674 TAM O SHANTER DR,EL DORADO HILLS,CA,4,2,0,Residential,272700
6007 MARYBELLE LN,SHINGLE SPRINGS,CA,0,0,0,Unkown,275000
9949 NESTLING CIR,ELK GROVE,CA,3,2,1543,Residential,275000
2915 HOLDREGE WAY,SACRAMENTO,CA,5,3,2494,Residential,276000
2678 BRIARTON DR,LINCOLN,CA,3,2,1650,Residential,276500
294 SPARROW DR,GALT,CA,4,3,2214,Residential,278000
2987 DIORITE WAY,SACRAMENTO,CA,5,3,2280,Residential,279000
6326 APPIAN WAY,CARMICHAEL,CA,3,2,1443,Residential,280000
6905 COBALT WAY,CITRUS HEIGHTS,CA,4,2,1582,Residential,280000
8986 HAFLINGER WAY,ELK GROVE,CA,3,2,1857,Residential,285000
2916 BABSON DR,ELK GROVE,CA,3,2,1735,Residential,288000
10133 NEBBIOLO CT,ELK GROVE,CA,4,3,2096,Residential,289000
1103 COMMONS DR,SACRAMENTO,CA,3,2,1720,Residential,290000
4636 TEAL BAY CT,ANTELOPE,CA,4,2,2160,Residential,290000
1524 YOUNGS AVE,SACRAMENTO,CA,4,2,1382,Residential,293996
865 CONRAD CT,PLACERVILLE,CA,3,2,0,Residential,294000
8463 TERRACOTTA CT,ELK GROVE,CA,4,2,1721,Residential,294173
5747 KING RD,LOOMIS,CA,4,2,1328,Residential,295000
8253 KEEGAN WAY,ELK GROVE,CA,0,0,0,Residential,298000
9204 TROUT WAY,ELK GROVE,CA,4,2,1982,Residential,298000
1828 2ND AVE,SACRAMENTO,CA,2,1,1144,Residential,299000
1113 COMMONS DR,SACRAMENTO,CA,2,2,1623,Residential,300000
2341 BIG STRIKE TRL,COOL,CA,3,2,1457,Residential,300000
9452 RED SPRUCE WAY,ELK GROVE,CA,6,3,2555,Residential,300000
5776 TERRACE DR,ROCKLIN,CA,3,2,1577,Residential,300567
5908 MCLEAN DR,ELK GROVE,CA,5,3,2592,Residential,303000
8215 PEREGRINE WAY,CITRUS HEIGHTS,CA,3,2,1401,Residential,305000
1104 HILLSDALE LN,LINCOLN,CA,4,2,0,Residential,306000
2949 PANAMA AVE,CARMICHAEL,CA,3,2,1502,Residential,310000
1356 HARTLEY WAY,FOLSOM,CA,3,2,1327,Residential,310000
633 HANISCH DR,ROSEVILLE,CA,4,3,1800,Residential,310000
63 ANGEL ISLAND CIR,SACRAMENTO,CA,4,2,2169,Residential,311518
1571 WILD OAK LN,LINCOLN,CA,5,3,2457,Residential,312000
5222 COPPER SUNSET WAY,RANCHO CORDOVA,CA,0,0,0,Residential,313000
5601 SPINDRIFT LN,ORANGEVALE,CA,4,2,2004,Residential,315000
652 FIFTEEN MILE DR,ROSEVILLE,CA,4,3,2212,Residential,315000
7921 DOE TRAIL WAY,ANTELOPE,CA,5,3,3134,Residential,315000
4204 LUSK DR,SACRAMENTO,CA,3,2,1360,Residential,315000
5321 DELTA DR,ROCKLIN,CA,4,2,0,Residential,315000
5608 ROSEDALE WAY,SACRAMENTO,CA,3,2,1276,Residential,320000
3372 BERETANIA WAY,SACRAMENTO,CA,4,3,2962,Residential,322000
2422 STEFANIE DR,ROCKLIN,CA,4,2,1888,Residential,325000
3232 PARKHAM DR,ROSEVILLE,CA,0,0,0,Residential,325500
448 ELMWOOD CT,ROSEVILLE,CA,3,2,0,Residential,326951
1214 DAWNWOOD DR,GALT,CA,3,2,1548,Residential,328370
1440 EMERALD LN,LINCOLN,CA,2,2,0,Residential,330000
3349 CORVINA DR,RANCHO CORDOVA,CA,4,3,2109,Residential,330000
10254 JULIANA WAY,SACRAMENTO,CA,4,2,2484,Residential,331200
149 OPUS CIR,SACRAMENTO,CA,4,3,2258,Residential,332000
580 REGENCY PARK CIR,SACRAMENTO,CA,3,3,2212,Residential,334000
5544 CAMAS CT,ORANGEVALE,CA,3,2,1616,Residential,335000
5102 ARCHCREST WAY,SACRAMENTO,CA,4,2,2372,Residential,341000
5725 BALFOR RD,ROCKLIN,CA,5,3,2606,Residential,346375
7697 ROSEHALL DR,ROSEVILLE,CA,5,3,0,Residential,347225
4821 HUTSON WAY,ELK GROVE,CA,5,3,2877,Residential,349000
4509 WINJE DR,ANTELOPE,CA,3,2,2960,Residential,350000
1965 LAURELHURST LN,LINCOLN,CA,2,2,0,Residential,350000
6709 ROSE BRIDGE DR,ROSEVILLE,CA,3,2,2172,Residential,350000
281 SPYGLASS HL,ROSEVILLE,CA,3,2,2100,Condo,350000
7709 RIVER VILLAGE DR,SACRAMENTO,CA,3,2,1795,Residential,351000
4165 BRISBANE CIR,EL DORADO HILLS,CA,3,2,0,Residential,356200
506 BEDFORD CT,ROSEVILLE,CA,4,2,2295,Residential,360000
9048 PINTO CANYON WAY,ROSEVILLE,CA,4,3,2577,Residential,367463
2274 IVY BRIDGE DR,ROSEVILLE,CA,0,0,0,Residential,375000
14004 WALNUT AVE,WALNUT GROVE,CA,3,1,1727,Residential,380000
6905 FRANKFORT CT,ELK GROVE,CA,3,2,1485,Residential,380578
3621 WINTUN DR,CARMICHAEL,CA,3,2,1655,Residential,386222
201 KIRKLAND CT,LINCOLN,CA,0,0,0,Residential,389000
12075 APPLESBURY CT,RANCHO CORDOVA,CA,0,0,0,Residential,390000
1975 SIDESADDLE WAY,ROSEVILLE,CA,3,2,2049,Residential,395500
5420 ALMOND FALLS WAY,RANCHO CORDOVA,CA,0,0,0,Residential,396000
9677 PILLITERI CT,ELK GROVE,CA,5,3,2875,Residential,397000
1515 EL CAMINO VERDE DR,LINCOLN,CA,0,0,0,Residential,400000
556 PLATT CIR,EL DORADO HILLS,CA,4,2,2199,Residential,400000
1792 DIAMOND WOODS CIR,ROSEVILLE,CA,4,3,0,Residential,412500
1124 PERKINS WAY,SACRAMENTO,CA,2,1,1304,Residential,413500
4748 SALEM WAY,CARMICHAEL,CA,3,2,2334,Residential,415000
1484 RADCLIFFE WAY,AUBURN,CA,4,3,2278,Residential,420454
51 AIKEN WAY,SACRAMENTO,CA,3,1,1493,Residential,425000
2818 KNOLLWOOD DR,CAMERON PARK,CA,3,2,0,Residential,425000
1536 STONEY CROSS LN,LINCOLN,CA,0,0,0,Residential,433500
509 CASTILLIAN CT,ROSEVILLE,CA,5,3,0,Residential,438000
700 HUNTER PL,FOLSOM,CA,5,3,2787,Residential,441000
1240 FAY CIR,SACRAMENTO,CA,5,3,2824,Residential,445000
1113 SANDWICK WAY,FOLSOM,CA,4,3,3261,Residential,446000
3108 DELWOOD WAY,SACRAMENTO,CA,4,2,2053,Residential,450000
3212 CORNICHE LN,ROSEVILLE,CA,4,3,2379,Residential,455000
2159 BECKETT DR,EL DORADO HILLS,CA,3,2,0,Residential,460000
4320 FOUR SEASONS RD,PLACERVILLE,CA,3,2,0,Residential,475000
6401 MARSHALL RD,GARDEN VALLEY,CA,3,2,0,Residential,490000
2089 BECKETT DR,EL DORADO HILLS,CA,4,2,0,Residential,493000
6196 EDGEHILL DR,EL DORADO HILLS,CA,5,4,0,Residential,508000
200 HILLSFORD CT,ROSEVILLE,CA,0,0,0,Residential,511000
8217 PLUMERIA AVE,FAIR OAKS,CA,3,2,3173,Residential,525000
4841 VILLAGE GREEN DR,EL DORADO HILLS,CA,4,3,0,Residential,533000
3863 LAS PASAS WAY,SACRAMENTO,CA,3,1,1348,Residential,545000
820 DANA CT,AUBURN,CA,4,3,0,Residential,560000
1165 37TH ST,SACRAMENTO,CA,2,1,1252,Residential,575000
203 CASCADE FALLS DR,FOLSOM,CA,4,3,3229,Residential,575000
9880 IZILDA CT,SACRAMENTO,CA,5,4,3863,Residential,598695
1800 AVONDALE DR,ROSEVILLE,CA,5,3,0,Residential,600000
4620 BROMWICH CT,ROCKLIN,CA,4,3,0,Residential,600000
620 KESWICK CT,GRANITE BAY,CA,4,3,2356,Residential,600000
4478 GREENBRAE RD,ROCKLIN,CA,0,0,0,Residential,600000
8432 BRIGGS DR,ROSEVILLE,CA,5,3,3579,Residential,610000
200 CRADLE MOUNTAIN CT,EL DORADO HILLS,CA,0,0,0,Residential,622500
2065 IMPRESSIONIST WAY,EL DORADO HILLS,CA,0,0,0,Residential,680000
2982 ABERDEEN LN,EL DORADO HILLS,CA,4,3,0,Residential,879000
9401 BARREL RACER CT,WILTON,CA,4,3,4400,Residential,884790
3720 VISTA DE MADERA,LINCOLN,CA,3,3,0,Residential,1551
14151 INDIO DR,SLOUGHHOUSE,CA,3,4,5822,Residential,2000
7401 TOULON LN,SACRAMENTO,CA,4,2,1512,Residential,56950
9127 NEWHALL DR Unit 34,SACRAMENTO,CA,1,1,611,Condo,60000
5937 BAMFORD DR,SACRAMENTO,CA,2,1,876,Residential,61000
5672 HILLSDALE BLVD,SACRAMENTO,CA,2,1,933,Condo,62000
3920 39TH ST,SACRAMENTO,CA,2,1,864,Residential,68566
701 JESSIE AVE,SACRAMENTO,CA,2,1,1011,Residential,70000
83 ARCADE BLVD,SACRAMENTO,CA,4,2,1158,Residential,80000
601 REGGINALD WAY,SACRAMENTO,CA,3,2,1092,Residential,85500
550 DEL VERDE CIR,SACRAMENTO,CA,2,1,956,Condo,92000
4113 DAYSTAR CT,SACRAMENTO,CA,2,2,1139,Residential,93600
7374 TISDALE WAY,SACRAMENTO,CA,3,1,1058,Residential,95000
3348 RIO LINDA BLVD,SACRAMENTO,CA,3,2,1040,Residential,97750
3935 LIMESTONE WAY,SACRAMENTO,CA,3,2,1354,Residential,104000
6208 GRATTAN WAY,NORTH HIGHLANDS,CA,3,1,1051,Residential,105000
739 E WOODSIDE LN Unit E,SACRAMENTO,CA,1,1,682,Condo,107666
4225 46TH AVE,SACRAMENTO,CA,3,1,1161,Residential,109000
1434 BELL AVE,SACRAMENTO,CA,3,1,1004,Residential,110000
5628 GEORGIA DR,NORTH HIGHLANDS,CA,3,1,1229,Residential,110000
7629 BETH ST,SACRAMENTO,CA,3,2,1249,Residential,112500
2277 BABETTE WAY,SACRAMENTO,CA,3,2,1161,Residential,114800
6561 WEATHERFORD WAY,SACRAMENTO,CA,3,1,1010,Residential,116000
3035 ESTEPA DR Unit 5C,CAMERON PARK,CA,0,0,0,Condo,119000
5136 CABOT CIR,SACRAMENTO,CA,4,2,1462,Residential,121500
7730 ROBINETTE RD,SACRAMENTO,CA,3,2,1269,Residential,122000
87 LACAM CIR,SACRAMENTO,CA,2,2,1188,Residential,123675
1691 NOGALES ST,SACRAMENTO,CA,4,2,1570,Residential,126854
3118 42ND ST,SACRAMENTO,CA,3,2,1093,Residential,127059
7517 50TH AVE,SACRAMENTO,CA,3,1,962,Residential,128687
4071 EVALITA WAY,SACRAMENTO,CA,3,2,1089,Residential,129500
7928 36TH AVE,SACRAMENTO,CA,3,2,1127,Residential,130000
6631 DEMARET DR,SACRAMENTO,CA,4,2,1309,Residential,131750
7043 9TH AVE,RIO LINDA,CA,2,1,970,Residential,132000
97 KENNELFORD CIR,SACRAMENTO,CA,3,2,1144,Residential,134000
2636 TRONERO WAY,RANCHO CORDOVA,CA,3,1,1000,Residential,134000
1530 TOPANGA LN Unit 204,LINCOLN,CA,0,0,0,Condo,138000
3604 KODIAK WAY,ANTELOPE,CA,3,2,1206,Residential,142000
2149 COTTAGE WAY,SACRAMENTO,CA,3,1,1285,Residential,143012
8632 PRAIRIEWOODS DR,SACRAMENTO,CA,3,2,1543,Residential,145846
612 STONE BLVD,WEST SACRAMENTO,CA,2,1,884,Residential,147000
4180 12TH AVE,SACRAMENTO,CA,3,1,1019,Residential,148750
8025 ARROYO VISTA DR,SACRAMENTO,CA,4,2,1392,Residential,150000
5754 WALERGA RD Unit 4,SACRAMENTO,CA,2,1,924,Condo,150454
8 LA ROCAS CT,SACRAMENTO,CA,3,2,1217,Residential,151087
8636 LONGSPUR WAY,ANTELOPE,CA,3,2,1670,Residential,157296
1941 EXPEDITION WAY,SACRAMENTO,CA,3,2,1302,Residential,157500
4351 TURNBRIDGE DR,SACRAMENTO,CA,3,2,1488,Residential,160000
6513 HOLIDAY WAY,NORTH HIGHLANDS,CA,3,2,1373,Residential,160000
8321 MISTLETOE WAY,CITRUS HEIGHTS,CA,4,2,1381,Residential,161250
5920 VALLEY GLEN WAY,SACRAMENTO,CA,3,2,1265,Residential,164000
2601 SAN FERNANDO WAY,SACRAMENTO,CA,2,1,881,Residential,165000
501 POPLAR AVE,WEST SACRAMENTO,CA,0,0,0,Residential,165000
8008 SAINT HELENA CT,SACRAMENTO,CA,4,2,1608,Residential,165750
6517 DONEGAL DR,CITRUS HEIGHTS,CA,3,1,1344,Residential,166000
1001 RIO NORTE WAY,SACRAMENTO,CA,3,2,1202,Residential,169000
604 P ST,LINCOLN,CA,3,2,1104,Residential,170000
10001 WOODCREEK OAKS BLVD Unit 815,ROSEVILLE,CA,2,2,0,Condo,170000
7351 GIGI PL,SACRAMENTO,CA,4,2,1859,Multi-Family,170000
7740 DIXIE LOU ST,SACRAMENTO,CA,3,2,1232,Residential,170000
7342 DAVE ST,SACRAMENTO,CA,3,1,1638,Residential,170725
7687 HOWERTON DR,SACRAMENTO,CA,2,2,1177,Residential,171750
26 KAMSON CT,SACRAMENTO,CA,3,2,1582,Residential,172000
7045 PEEVEY CT,SACRAMENTO,CA,2,2,904,Residential,173056
8916 GABLES MILL PL,ELK GROVE,CA,3,2,1340,Residential,174000
1140 EDMONTON DR,SACRAMENTO,CA,3,2,1204,Residential,174250
8879 APPLE PEAR CT,ELK GROVE,CA,4,2,1477,Residential,176850
9 WIND CT,SACRAMENTO,CA,4,2,1497,Residential,179500
8570 SHERATON DR,FAIR OAKS,CA,3,1,960,Residential,185000
1550 TOPANGA LN Unit 207,LINCOLN,CA,0,0,0,Condo,188000
1080 RIO NORTE WAY,SACRAMENTO,CA,3,2,1428,Residential,188700
5501 VALLETTA WAY,SACRAMENTO,CA,3,1,1039,Residential,189000
5624 MEMORY LN,FAIR OAKS,CA,3,1,1529,Residential,189000
6622 WILLOWLEAF DR,CITRUS HEIGHTS,CA,4,3,1892,Residential,189836
27 MEGAN CT,SACRAMENTO,CA,4,2,1887,Residential,190000
6601 WOODMORE OAKS DR,ORANGEVALE,CA,3,2,1294,Residential,191250
1973 DANVERS WAY,SACRAMENTO,CA,3,2,1638,Residential,191675
8001 ARROYO VISTA DR,SACRAMENTO,CA,3,2,1677,Residential,195500
7409 VOYAGER WAY,CITRUS HEIGHTS,CA,3,1,1073,Residential,198000
815 CROSSWIND DR,SACRAMENTO,CA,3,2,1231,Residential,200000
5509 LAGUNA CREST WAY,ELK GROVE,CA,3,2,1175,Residential,200000
8424 MERRY HILL WAY,ELK GROVE,CA,3,2,1416,Residential,200000
1525 PENNSYLVANIA AVE,WEST SACRAMENTO,CA,0,0,0,Residential,200100
5954 BRIDGECROSS DR,SACRAMENTO,CA,3,2,1358,Residential,201528
8789 SEQUOIA WOOD CT,ELK GROVE,CA,4,2,1609,Residential,204750
6600 SILVERTHORNE CIR,SACRAMENTO,CA,4,3,1968,Residential,205000
2221 2ND AVE,SACRAMENTO,CA,2,2,1089,Residential,205000
3230 SMATHERS WAY,CARMICHAEL,CA,3,2,1296,Residential,205900
5209 LAGUNA CREST WAY,ELK GROVE,CA,2,2,1189,Residential,207000
416 LEITCH AVE,SACRAMENTO,CA,2,1,795,Residential,207973
2100 BEATTY WAY,ROSEVILLE,CA,3,2,1371,Residential,208250
6920 GILLINGHAM WAY,NORTH HIGHLANDS,CA,3,1,1310,Residential,208318
82 WILDFLOWER DR,GALT,CA,3,2,1262,Residential,209347
8652 BANTON CIR,ELK GROVE,CA,4,2,1740,Residential,211500
8428 MISTY PASS WAY,ANTELOPE,CA,3,2,1517,Residential,212000
7958 ROSEVIEW WAY,SACRAMENTO,CA,3,2,1450,Residential,213000
9020 LUKEN CT,ELK GROVE,CA,3,2,1416,Residential,216000
7809 VALLECITOS WAY,SACRAMENTO,CA,3,1,888,Residential,216021
8445 OLD AUBURN RD,CITRUS HEIGHTS,CA,3,2,1882,Residential,219000
10085 ATKINS DR,ELK GROVE,CA,3,2,1302,Residential,219794
9185 CERROLINDA CIR,ELK GROVE,CA,3,2,1418,Residential,220000
9197 CORTINA CIR,ROSEVILLE,CA,3,2,0,Condo,220000
5429 HESPER WAY,CARMICHAEL,CA,4,2,1319,Residential,220000
1178 WARMWOOD CT,GALT,CA,4,2,1770,Residential,220000
4900 ELUDE CT,SACRAMENTO,CA,4,2,1627,Residential,223000
3557 SODA WAY,SACRAMENTO,CA,0,0,0,Residential,224000
3528 SAINT GEORGE DR,SACRAMENTO,CA,3,1,1040,Residential,224000
7381 WASHBURN WAY,NORTH HIGHLANDS,CA,3,1,960,Residential,224252
2181 WINTERHAVEN CIR,CAMERON PARK,CA,3,2,0,Residential,224500
7540 HICKORY AVE,ORANGEVALE,CA,3,1,1456,Residential,225000
5024 CHAMBERLIN CIR,ELK GROVE,CA,3,2,1450,Residential,228000
2400 INVERNESS DR,LINCOLN,CA,3,2,1358,Residential,229027
5 BISHOPGATE CT,SACRAMENTO,CA,4,2,1329,Residential,229500
5601 REXLEIGH DR,SACRAMENTO,CA,4,2,1715,Residential,230000
1909 YARNELL WAY,ELK GROVE,CA,3,2,1262,Residential,230000
9169 GARLINGTON CT,SACRAMENTO,CA,4,3,2280,Residential,232425
6932 RUSKUT WAY,SACRAMENTO,CA,3,2,1477,Residential,234000
7933 DAFFODIL WAY,CITRUS HEIGHTS,CA,3,2,1216,Residential,235000
8304 RED FOX WAY,ELK GROVE,CA,4,2,1685,Residential,235301
3882 YELLOWSTONE LN,EL DORADO HILLS,CA,3,2,1362,Residential,235738
